AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
HNB4-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,439.75,347.0,288.17,178.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNBA4-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,178.0,72.0,89.0,16.0,53.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
M0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,125.0,40.0,25.0,20.0,167.5,386.0,726.0,651.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,130.0,129.0,30.0,0.0,1025.0,580.0,1180.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFRF001,0.0,0.0,406.98,1245.02,0.0,172.0,72.0,122.0,224.0,136.0,156.0,308.0,99.0,330.0,358.0,0.0,0.0,14.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH001,0.0,0.0,304.52,2092.74,420.62,273.39,192.38,237.59,255.83,58.75,10.92,0.85,0.0,0.0,8.42,1050.23,123.75,104.1,118.35,187.72,236.10999999999999,257.88,628.26,131.57999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH003,0.0,0.0,6041.74,38612.93,9746.62,17168.6,10258.29,10074.24,12995.52,14841.41,13061.57,3230.29,12403.08,14832.970000000001,13312.8,16158.78,8445.65,14130.24,7279.65,17687.760000000002,16991.77,16575.9,16696.75,6901.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH009,0.0,0.0,0.0,0.0,73.86,113.05,81.89,55.76,150.88,253.06,233.05,238.73000000000002,243.25,238.89,113.7,172.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH013,0.0,0.0,164.52,159.66,58.37,117.27,75.49,165.27,108.14,344.99,239.835,203.93,253.02,208.72,117.445,178.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH014,0.0,0.0,127.53999999999999,12.19,12.73,37.3,37.9,37.2,162.44,37.94,104.97999999999999,12.52,164.64,179.32999999999998,168.35999999999999,206.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHCH016,0.0,0.0,106.74,1116.89,267.71,132.21,41.72,78.01,245.85,187.75,313.65000000000003,155.51,88.88,0.0,6.35,0.0,0.0,6.35,0.0,0.0,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.82999999999998,558.0,254.0,385.65999999999997,16.92,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,361.0,30.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISCHAR120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,152.0,84.08,62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISCLOVE120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,116.0,73.08,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
